Date,Marketing Channel,Impressions,Clicks,Leads,Qualified Leads,Sales Calls,Customers,Revenue,Ad Spend
2025-01-01,Email Marketing,3325,486,192,121,94,29,170528.84,1969.61
2025-01-01,Facebook Ads,15213,389,59,32,24,5,21834.05,3607.11
2025-01-01,Google Ads,8745,511,139,81,58,15,113977.93,7450.81
2025-01-01,Instagram Ads,10346,211,35,14,9,1,4532.72,1908.5
2025-01-01,LinkedIn Ads,3824,136,27,18,14,4,43410.48,5732.52
2025-01-01,Organic Search,7098,424,85,50,35,14,105842.86,688.33
2025-01-01,Referral,2640,312,155,112,97,47,458984.27,685.09
2025-01-01,YouTube Ads,5619,78,11,4,2,0,0.0,1426.42
2025-01-02,Email Marketing,5613,617,186,104,78,28,168479.96,1815.87
2025-01-02,Facebook Ads,8066,219,48,24,18,3,12695.21,2301.53
2025-01-02,Google Ads,7809,361,77,47,33,11,61557.62,7841.8
2025-01-02,Instagram Ads,16494,362,57,22,14,2,10150.23,4382.82
2025-01-02,LinkedIn Ads,5548,163,31,21,17,6,74813.87,7403.35
2025-01-02,Organic Search,14168,707,164,94,66,23,149124.27,1116.71
2025-01-02,Referral,3789,685,317,233,200,83,715296.22,1907.81
2025-01-02,YouTube Ads,10652,297,51,18,11,2,11442.92,5399.5
2025-01-03,Email Marketing,4838,601,218,131,99,37,198802.37,1780.37
2025-01-03,Facebook Ads,14225,363,67,36,28,6,27610.54,4167.51
2025-01-03,Google Ads,5069,229,55,29,20,5,29848.04,5365.26
2025-01-03,Instagram Ads,10133,127,23,10,6,1,4279.12,1696.45
2025-01-03,LinkedIn Ads,2579,76,21,13,10,3,40923.25,2641.21
2025-01-03,Organic Search,6366,405,102,51,37,13,84800.29,927.59
2025-01-03,Referral,3072,426,210,139,113,46,443072.83,1213.84
2025-01-03,YouTube Ads,6805,157,32,13,8,1,5794.43,1716.17
2025-01-04,Email Marketing,3677,356,141,83,69,25,150131.85,1560.86
2025-01-04,Facebook Ads,13348,217,36,19,14,2,10654.01,1890.14
2025-01-04,Google Ads,11903,583,136,75,60,20,146792.53,13333.71
2025-01-04,Instagram Ads,5997,87,15,7,5,1,4274.5,1042.72
2025-01-04,LinkedIn Ads,2806,98,24,17,13,4,47354.32,3123.6
2025-01-04,Organic Search,9513,567,122,69,49,17,111032.64,1298.97
2025-01-04,Referral,3248,634,311,213,166,81,801897.12,1176.94
2025-01-04,YouTube Ads,9983,270,46,18,13,2,10227.21,3157.63
2025-01-05,Email Marketing,3767,457,138,76,63,21,126934.22,1088.2
2025-01-05,Facebook Ads,15749,411,90,45,31,7,39341.59,5616.53
2025-01-05,Google Ads,12207,621,159,81,64,22,144209.76,9563.92
2025-01-05,Instagram Ads,14057,374,65,29,21,5,26957.93,4455.75
2025-01-05,LinkedIn Ads,4726,126,27,16,12,3,38139.67,4953.31
2025-01-05,Organic Search,10990,534,133,67,45,18,142421.21,1111.4
2025-01-05,Referral,2701,533,240,163,140,59,426886.78,1000.94
2025-01-05,YouTube Ads,4400,128,26,11,7,1,4500.49,1480.24
2025-01-06,Email Marketing,6293,575,176,108,81,29,178377.5,2771.9
2025-01-06,Facebook Ads,13035,243,45,23,14,2,8162.92,2022.25
2025-01-06,Google Ads,10492,539,143,77,64,20,136703.24,10533.97
2025-01-06,Instagram Ads,16410,381,65,25,17,3,14003.11,3128.93
2025-01-06,LinkedIn Ads,3594,116,28,16,12,4,57129.8,4647.28
2025-01-06,Organic Search,9493,623,147,81,64,24,209185.25,1820.64
2025-01-06,Referral,1587,169,69,44,34,15,119353.9,193.06
2025-01-06,YouTube Ads,10914,114,23,9,5,1,5754.94,1856.99
2025-01-07,Email Marketing,4466,460,168,105,87,32,191642.9,1045.86
2025-01-07,Facebook Ads,12464,332,61,32,24,5,27545.43,4401.02
2025-01-07,Google Ads,12350,668,152,80,65,21,130994.91,15968.57
2025-01-07,Instagram Ads,8134,215,37,18,11,2,7643.35,2090.75
2025-01-07,LinkedIn Ads,5621,122,25,18,15,5,61211.14,5201.68
2025-01-07,Organic Search,6518,403,94,55,39,14,115983.45,518.25
2025-01-07,Referral,2854,314,128,92,72,34,246297.58,757.52
2025-01-07,YouTube Ads,5593,166,29,11,7,1,5506.76,3296.76
2025-01-08,Email Marketing,6146,791,273,167,135,52,289220.17,1689.84
2025-01-08,Facebook Ads,8136,179,27,11,7,1,5166.74,2366.79
2025-01-08,Google Ads,8762,284,78,45,34,11,71256.63,4291.8
2025-01-08,Instagram Ads,17583,316,49,24,15,4,22959.03,2238.89
2025-01-08,LinkedIn Ads,2172,82,19,14,10,3,37846.47,4049.66
2025-01-08,Organic Search,14553,1100,260,146,104,38,268282.15,2120.14
2025-01-08,Referral,2750,296,147,110,93,42,396538.17,479.24
2025-01-08,YouTube Ads,9793,129,27,12,8,1,4836.49,2081.31
2025-01-09,Email Marketing,6090,639,198,122,97,36,241357.07,2275.15
2025-01-09,Facebook Ads,15129,313,77,40,31,7,31827.7,3412.87
2025-01-09,Google Ads,14327,802,164,82,62,20,109025.01,19145.95
2025-01-09,Instagram Ads,7620,196,39,20,15,3,17068.59,2427.05
2025-01-09,LinkedIn Ads,5398,134,30,18,15,5,66792.52,4632.76
2025-01-09,Organic Search,10967,684,184,99,68,23,180801.36,1717.03
2025-01-09,Referral,3112,377,155,100,81,37,307559.72,672.75
2025-01-09,YouTube Ads,11329,192,35,16,10,2,11798.08,3575.74
2025-01-10,Email Marketing,5517,707,214,134,108,33,225777.58,3266.86
2025-01-10,Facebook Ads,15600,290,45,18,12,2,10563.5,2601.82
2025-01-10,Google Ads,6470,373,92,49,37,12,71835.06,7059.47
2025-01-10,Instagram Ads,9000,157,33,14,10,1,3881.74,1310.33
2025-01-10,LinkedIn Ads,2675,68,13,7,5,1,11821.35,2320.61
2025-01-10,Organic Search,6549,334,88,50,35,12,89442.83,581.48
2025-01-10,Referral,2854,390,174,126,98,41,397110.44,946.41
2025-01-10,YouTube Ads,8581,177,27,11,7,1,4754.57,2246.56
2025-01-11,Email Marketing,2890,337,114,73,55,18,121158.26,1654.13
2025-01-11,Facebook Ads,14849,333,52,24,17,4,17020.64,3670.2
2025-01-11,Google Ads,4420,175,38,20,14,4,28149.23,3488.79
2025-01-11,Instagram Ads,8603,153,28,12,7,1,4274.45,1719.78
2025-01-11,LinkedIn Ads,2046,47,9,5,3,0,0.0,1572.97
2025-01-11,Organic Search,11350,571,122,69,54,21,143638.68,1223.78
2025-01-11,Referral,2812,333,143,99,82,34,300283.24,409.48
2025-01-11,YouTube Ads,5967,129,20,8,5,0,0.0,1724.22
2025-01-12,Email Marketing,4217,578,198,116,92,30,180163.22,2452.35
2025-01-12,Facebook Ads,11610,245,45,24,18,5,27308.67,2173.17
2025-01-12,Google Ads,4788,285,66,41,30,9,61082.25,6156.65
2025-01-12,Instagram Ads,14723,219,29,14,9,2,10781.07,1747.27
2025-01-12,LinkedIn Ads,2385,55,10,7,5,1,14386.0,2044.71
2025-01-12,Organic Search,6876,522,120,66,52,21,185209.42,644.04
2025-01-12,Referral,2450,327,135,98,82,37,346534.29,911.61
2025-01-12,YouTube Ads,5152,83,13,6,3,0,0.0,1462.84
2025-01-13,Email Marketing,6536,592,211,128,101,37,253492.07,2843.44
2025-01-13,Facebook Ads,10751,277,61,30,22,5,23456.96,2704.24
2025-01-13,Google Ads,8420,460,97,60,43,12,65397.03,10107.56
2025-01-13,Instagram Ads,8997,238,43,18,12,3,14917.38,1921.48
2025-01-13,LinkedIn Ads,4023,129,23,16,13,4,58449.99,5667.36
2025-01-13,Organic Search,10057,447,124,72,50,22,166243.31,1224.69
2025-01-13,Referral,2773,387,156,106,91,36,295002.22,645.13
2025-01-13,YouTube Ads,8761,248,43,17,12,2,9809.76,3037.02
2025-01-14,Email Marketing,5003,596,188,106,88,34,188410.64,1859.48
2025-01-14,Facebook Ads,8157,203,34,18,12,2,11987.5,1745.28
2025-01-14,Google Ads,6408,226,56,31,25,7,48277.55,4476.13
2025-01-14,Instagram Ads,12524,269,36,17,10,2,8362.75,2269.28
2025-01-14,LinkedIn Ads,2146,63,14,8,6,2,24407.63,2550.73
2025-01-14,Organic Search,11795,664,134,69,52,21,139984.25,699.98
2025-01-14,Referral,1693,283,113,74,63,26,200578.26,652.45
2025-01-14,YouTube Ads,5696,84,16,7,5,0,0.0,1401.19
2025-01-15,Email Marketing,6167,604,189,119,100,35,194061.51,1519.08
2025-01-15,Facebook Ads,13057,370,85,38,26,6,27216.76,4488.86
2025-01-15,Google Ads,7931,451,90,46,33,8,53993.0,7132.27
2025-01-15,Instagram Ads,13865,257,46,20,13,3,12240.68,3172.73
2025-01-15,LinkedIn Ads,5473,162,43,30,23,6,76249.03,5730.51
2025-01-15,Organic Search,6165,472,98,54,38,15,127338.38,1086.94
2025-01-15,Referral,1619,163,67,49,42,19,170907.09,358.77
2025-01-15,YouTube Ads,6227,176,31,12,8,1,5476.07,2052.66
2025-01-16,Email Marketing,4360,528,177,98,82,25,147300.29,2561.18
2025-01-16,Facebook Ads,14796,327,70,37,28,6,27147.17,2687.38
2025-01-16,Google Ads,5827,280,62,34,25,7,41239.56,5933.33
2025-01-16,Instagram Ads,13545,173,30,13,8,2,7900.55,1340.09
2025-01-16,LinkedIn Ads,4912,146,36,23,17,6,80840.89,6714.29
2025-01-16,Organic Search,7666,472,127,72,55,22,188046.91,1125.51
2025-01-16,Referral,1749,260,109,81,70,28,273720.86,626.9
2025-01-16,YouTube Ads,6264,133,28,9,6,1,5942.12,2559.45
2025-01-17,Email Marketing,6835,739,257,157,131,52,303447.75,3181.26
2025-01-17,Facebook Ads,10760,180,28,14,9,2,9261.16,1522.35
2025-01-17,Google Ads,14442,638,182,114,85,28,190086.67,9168.11
2025-01-17,Instagram Ads,12934,318,50,23,17,4,15395.21,2744.57
2025-01-17,LinkedIn Ads,5480,111,29,19,15,5,58767.8,5545.41
2025-01-17,Organic Search,9792,680,148,75,54,20,134016.47,1082.98
2025-01-17,Referral,1126,114,56,38,31,14,137898.37,163.76
2025-01-17,YouTube Ads,10504,123,22,10,7,1,4334.07,1984.5
2025-01-18,Email Marketing,6327,929,358,225,183,64,372282.01,2100.43
2025-01-18,Facebook Ads,9048,161,36,16,10,2,11711.01,2284.03
2025-01-18,Google Ads,12674,468,137,81,64,19,105062.1,7631.53
2025-01-18,Instagram Ads,15252,225,37,17,12,2,8497.76,2859.94
2025-01-18,LinkedIn Ads,2460,75,17,11,8,3,31942.72,2648.4
2025-01-18,Organic Search,7951,400,103,56,38,14,87197.5,946.61
2025-01-18,Referral,3020,451,202,143,123,53,460951.38,1062.57
2025-01-18,YouTube Ads,5838,160,32,14,10,2,11348.05,2733.38
2025-01-19,Email Marketing,2985,434,160,89,69,25,154108.52,955.69
2025-01-19,Facebook Ads,15223,257,47,24,16,4,20059.74,3553.01
2025-01-19,Google Ads,10178,513,134,82,59,19,96667.1,11654.56
2025-01-19,Instagram Ads,6009,99,18,9,6,1,4879.97,1132.37
2025-01-19,LinkedIn Ads,4351,96,24,16,13,4,58640.56,4094.63
2025-01-19,Organic Search,7746,502,102,59,47,21,134195.43,1254.65
2025-01-19,Referral,2783,285,114,77,63,30,250131.24,674.48
2025-01-19,YouTube Ads,5878,176,31,12,7,1,4441.54,2980.88
2025-01-20,Email Marketing,7604,936,355,212,161,50,293030.59,3797.07
2025-01-20,Facebook Ads,13036,320,60,26,20,4,17839.64,4562.78
2025-01-20,Google Ads,5823,293,77,41,34,9,70477.63,5368.74
2025-01-20,Instagram Ads,9344,116,21,9,6,1,4171.05,1598.17
2025-01-20,LinkedIn Ads,5474,194,49,35,28,10,101626.31,6329.23
2025-01-20,Organic Search,7804,465,95,53,37,15,110484.91,753.64
2025-01-20,Referral,1034,110,48,33,27,11,105384.04,262.9
2025-01-20,YouTube Ads,10458,112,20,7,4,0,0.0,1279.6
